"Run Fondo";"run_adm";"run_fm_l";"entidad_nombre_fm";"nombre_corto";"vigencia";"estado";"tipo";"razon_social";"fecha_deposito";"fecha_ultima_modificacion";"fecha_inicio";"nro_fecha_resolucion";"fecha_cumplimiento";"fecha_termino";"num_registro"
"9022";"96767630-6";"9022-0";FONDO MUTUO BANCHILE CAPITAL EMPRESARIAL;CAPITAL EMPRESARIAL;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-09;2023-11-16;2013-09-03;-;2013-10-03;;FM130655
"8026";"96767630-6";"8026-8";FONDO MUTUO BANCHILE CAPITAL FINANCIERO;CAPITAL FINANCIERO;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-09;2023-06-12;1985-03-11;Res. 18 (11/03/1985);1985-03-11;;FM110177
"9561";"96767630-6";"9561-3";FONDO MUTUO BANCHILE COBERTURA DEUDA GLOBAL;COBERTURA GLOBAL;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-21;2022-10-24;2018-01-04;-;2018-02-06;;FM171303
"10059";"96767630-6";"10059-5";FONDO MUTUO BANCHILE CONSERVADOR;FM BCH CONSERVADOR;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-03;2022-11-17;2021-07-14;-;2021-08-19;;FM211815
"8248";"96767630-6";"8248-1";FONDO MUTUO BANCHILE CORPORATE DOLLAR;CORPORATE DOLLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-09;2023-07-07;2002-10-09;Res. 389 (09/10/2002);2002-10-13;;FM110232
"10269";"96767630-6";"10269-5";FONDO MUTUO BANCHILE DEPÓSITO PLUS X;FM BCH DEP PLUS X;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-13;;2022-05-17;-;2022-05-17;;FM222028
"10353";"96767630-6";"10353-5";FONDO MUTUO BANCHILE DEPÓSITO PLUS XI;FM BCH DEP PLUS XI;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-13;;2022-10-17;-;2022-10-18;;FM222112
"10359";"96767630-6";"10359-4";FONDO MUTUO BANCHILE DEPÓSITO PLUS XII;FM BCH DEP PLUS XII;No Vigente;Liquidado;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-20;;2022-10-21;-;2022-10-24;2023-11-06;FM222118
"10432";"96767630-6";"10432-9";FONDO MUTUO BANCHILE DEPÓSITO PLUS XIII;FM BCH DEP PLUS XIII;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-03;;2023-03-08;-;2023-03-09;;FM232191
"10446";"96767630-6";"10446-9";FONDO MUTUO BANCHILE DEPÓSITO PLUS XIV;FM BCH DEP PLUS XIV;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-30;;2023-04-03;-;2023-04-04;;FM232205
"10377";"96767630-6";"10377-2";FONDO MUTUO BANCHILE DEPÓSITO UF PLUS I;FM BCH DEPOSITO UF I;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-07;;2022-11-09;-;2022-11-09;;FM222136
"8152";"96767630-6";"8152-3";FONDO MUTUO banchile DEPÓSITO XXI;DEPOSITO XXI;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-07;2022-11-02;2000-06-12;Res. 132 (12/06/2000);2000-07-05;;FM110182
"8957";"96767630-6";"8957-5";FONDO MUTUO BANCHILE DEUDA DÓLAR;DEUDA DOLAR;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-24;2023-05-08;2012-09-11;-;2012-10-09;;FM120590
"8934";"96767630-6";"8934-6";FONDO MUTUO BANCHILE DEUDA SOBERANA;BCH DEUDA SOBERANA;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-07;2022-11-02;2012-06-06;-;2012-07-13;;FM120567
"8052";"96767630-6";"8052-7";FONDO MUTUO BANCHILE DISPONIBLE;DISPONIBLE;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-20;2022-11-09;1992-10-14;Res. 227 (14/10/1992);1992-10-14;;FM110184
"8054";"96767630-6";"8054-3";FONDO MUTUO BANCHILE EMERGING;EMERGING;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-06-05;2022-10-13;1992-10-14;Res. 227 (14/10/1992);1992-10-14;;FM110209
"8299";"96767630-6";"8299-6";FONDO MUTUO BANCHILE EMERGING DOLLAR;BCH EMERGING DOLLAR;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-06-05;2022-10-13;2004-05-17;Res. 238 (17/05/2004);2004-06-21;;FM110208
"9042";"96767630-6";"9042-5";FONDO MUTUO BANCHILE ESTRATEGIA AGRESIVA;ESTRATEGIA AGRESIVA;No Vigente;;"4-FM MIXTO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-04;2022-11-09;2013-12-20;-;2013-12-20;2023-11-01;FM130675
"9041";"96767630-6";"9041-7";FONDO MUTUO BANCHILE ESTRATEGIA CONSERVADORA;ESTRATEGIA CONS;No Vigente;;"4-FM MIXTO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-04;2022-11-09;2013-12-20;-;2013-12-20;2023-11-21;FM130674
"8525";"96767630-6";"8525-1";FONDO MUTUO BANCHILE ESTRATEGIA MODERADA;ESTRATEGIA MODERADA;No Vigente;;"4-FM MIXTO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-04;2022-11-09;2007-10-06;Res. 160 (06/10/2007);2007-10-06;2023-11-15;FM110229
"8125";"96767630-6";"8125-6";FONDO MUTUO BANCHILE ESTRATEGICO;ESTRATEGICO;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-21;2022-11-02;1998-09-28;Res. 220 (28/09/1998);1998-09-28;;FM110231
"10319";"96767630-6";"10319-5";FONDO MUTUO BANCHILE ESTRUCTURADO DÓLAR;FM BCH ESTR DOLAR;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-08-03;;2022-08-22;-;2022-08-24;;FM222078
"8129";"96767630-6";"8129-9";FONDO MUTUO BANCHILE EUROPA DESARROLLADA;EUROPA DESARROLLADA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-14;2022-10-13;1999-02-01;Res. 316 (01/02/1999);1999-06-15;;FM110210
"8088";"96767630-6";"8088-8";FONDO MUTUO BANCHILE GLOBAL ACCIONARIO;FM BCH GLOBAL ACC;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-13;1996-05-13;Res. 276 (13/05/1996);1996-05-13;;FM110212
"8301";"96767630-6";"8301-1";FONDO MUTUO BANCHILE GLOBAL DOLLAR;GLOBAL DOLLAR;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-13;2004-05-18;Res. 238 (18/05/2004);2004-06-22;;FM110211
