"fecha";"Run Fondo";"nombre_fm";"rut_emisor";"dig_r_emisor";"fecha_ven";"nemotecnico_instrumento";"codigo_pais_emisor";"tipo_instrumento";"situacion_instrumento";"clasificacion_riesgo";"codigo_grupo_empresa";"cantidad_unidades";"tipo_unidades";"tir";"valor_par";"valor_relevante";"cod_val";"base_tasa";"tipo_interes";"valorizacion_cierre";"codigo_moneda_liquidacion";"codigo_pais_transaccion";"percent_capital_emisor";"percent_activo_emisor";"percent_activo_fondo"
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;1500;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;3500;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;1000;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;3000;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;10000;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;11500;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;1000;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-02-01;BBBVK30212;CL;BB;1;AAA;32;14500;UF;8.15;;;1;365;RC;0;$$;CL;0.000;0.000;0.000
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2024-02-01;BBBVK40212;CL;BB;1;AAA;32;2000;UF;5.03;;;1;365;RC;68877;$$;CL;0.000;0.000;0.032
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2024-07-01;BBBVK70714;CL;BB;1;AAA;32;1000;UF;4.51;;;1;365;RC;35024;$$;CL;0.000;0.000;0.016
2023-01-01;"8011";VISION MONEY MARKET;97080000;K;2024-02-01;BBIC730218;CL;BB;1;AA;2;20000;UF;5.03;;;1;365;RC;684731;$$;CL;0.000;0.007;0.319
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-07-01;BBNSAK0118;CL;BB;1;AAA;32;5000;UF;6.35;;;1;365;RC;173418;$$;CL;0.000;0.000;0.081
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-07-01;BBNSAK0118;CL;BB;1;AAA;32;15000;UF;6.35;;;1;365;RC;522975;$$;CL;0.000;0.001;0.244
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2023-05-01;BBNS-Q0513;CL;BB;1;AAA;32;6000;UF;5.67;;;1;365;RC;213008;$$;CL;0.000;0.001;0.099
2023-01-01;"8011";VISION MONEY MARKET;97018000;"1";2024-04-01;BBNS-W0414;CL;BB;1;AAA;32;4000;UF;4.60;;;1;365;RC;139595;$$;CL;0.000;0.000;0.065
2023-01-01;"8011";VISION MONEY MARKET;76362099;"9";2023-07-01;BBTG-B0718;CL;BB;1;AA;44;10000;UF;6.76;;;1;365;RC;346385;$$;CL;0.000;0.012;0.161
2023-01-01;"8011";VISION MONEY MARKET;76362099;"9";2023-07-01;BBTG-B0718;CL;BB;1;AA;44;3000;UF;6.76;;;1;365;RC;103915;$$;CL;0.000;0.004;0.048
2023-01-01;"8011";VISION MONEY MARKET;76362099;"9";2023-07-01;BBTG-B0718;CL;BB;1;AA;44;2000;UF;6.76;;;1;365;RC;69277;$$;CL;0.000;0.002;0.032
2023-01-01;"8011";VISION MONEY MARKET;76362099;"9";2023-07-01;BBTG-B0718;CL;BB;1;AA;44;12000;UF;6.76;;;1;365;RC;414750;$$;CL;0.000;0.015;0.193
2023-01-01;"8011";VISION MONEY MARKET;97004000;"5";2023-05-01;BCHIAS0513;CL;BB;1;AAA;3;1000;UF;5.67;;;1;365;RC;35414;$$;CL;0.000;0.000;0.016
2023-01-01;"8011";VISION MONEY MARKET;97004000;"5";2023-05-01;BCHIAS0513;CL;BB;1;AAA;3;6000;UF;5.67;;;1;365;RC;212076;$$;CL;0.000;0.000;0.099
2023-01-01;"8011";VISION MONEY MARKET;97004000;"5";2023-05-01;BCHIAS0513;CL;BB;1;AAA;3;5000;UF;5.67;;;1;365;RC;176730;$$;CL;0.000;0.000;0.082
2023-01-01;"8011";VISION MONEY MARKET;97030000;"7";2023-10-01;BESTX10418;CL;BB;1;AAA;21;3000;UF;6.22;;;1;365;RC;104594;$$;CL;0.000;0.000;0.049
2023-01-01;"8011";VISION MONEY MARKET;97030000;"7";2023-11-01;BESTX20518;CL;BB;1;AAA;21;13000;UF;5.43;;;1;365;RC;452529;$$;CL;0.000;0.001;0.211
2023-01-01;"8011";VISION MONEY MARKET;97030000;"7";2023-11-01;BESTX20518;CL;BB;1;AAA;21;9000;UF;5.43;;;1;365;RC;313070;$$;CL;0.000;0.001;0.146
2023-01-01;"8011";VISION MONEY MARKET;97030000;"7";2023-11-01;BESTX20518;CL;BB;1;AAA;21;13500;UF;5.43;;;1;365;RC;469605;$$;CL;0.000;0.001;0.219
2023-01-01;"8011";VISION MONEY MARKET;97030000;"7";2023-11-01;BESTX20518;CL;BB;1;AAA;21;2000;UF;5.43;;;1;365;RC;69620;$$;CL;0.000;0.000;0.032
2023-01-01;"8011";VISION MONEY MARKET;96678790;"2";2024-03-01;BFORU-BO;CL;BE;1;AA;0;4000;UF;7.24;;;1;365;RC;134706;$$;CL;0.000;0.067;0.063
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;16500;UF;7.58;;;1;365;RC;584884;$$;CL;0.000;0.015;0.272
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;18000;UF;7.58;;;1;365;RC;638702;$$;CL;0.000;0.017;0.297
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;10500;UF;7.58;;;1;365;RC;372456;$$;CL;0.000;0.010;0.173
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;40000;UF;7.58;;;1;365;RC;1418882;$$;CL;0.000;0.038;0.661
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;8000;UF;7.58;;;1;365;RC;283867;$$;CL;0.000;0.008;0.132
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;5000;UF;7.58;;;1;365;RC;177417;$$;CL;0.000;0.005;0.083
2023-01-01;"8011";VISION MONEY MARKET;97011000;"3";2023-03-01;BINT-J0318;CL;BB;1;AA;136;20000;UF;7.58;;;1;365;RC;708951;$$;CL;0.000;0.019;0.330
2023-01-01;"8011";VISION MONEY MARKET;97023000;"9";2023-05-01;BITAQ10512;CL;BB;1;AA;76;8000;UF;6.65;;;1;365;RC;284143;$$;CL;0.000;0.001;0.132
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-01;BNPDBC010223;CL;PDBC;1;NA;0;600000000;$$;0.90;;;1;30;NL;600000;$$;CL;0.000;0.001;0.279
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-01;BNPDBC010223;CL;PDBC;1;NA;0;500000000;$$;0.90;;;1;30;NL;500000;$$;CL;0.000;0.001;0.233
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-02;BNPDBC020223;CL;PDBC;1;NA;0;5000000000;$$;0.91;;;1;30;NL;4998459;$$;CL;0.000;0.006;2.328
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-03;BNPDBC030223;CL;PDBC;1;NA;0;2000000000;$$;0.92;;;1;30;NL;1998754;$$;CL;0.000;0.002;0.931
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-06;BNPDBC060223;CL;PDBC;1;NA;0;1000000000;$$;0.93;;;1;30;NL;998452;$$;CL;0.000;0.001;0.465
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-03-06;BNPDBC060323;CL;PDBC;1;NA;0;1000000000;$$;0.92;;;1;30;NL;989874;$$;CL;0.000;0.001;0.461
2023-01-01;"8011";VISION MONEY MARKET;97029000;"1";2023-02-07;BNPDBC070223;CL;PDBC;1;NA;0;1500000000;$$;0.93;;;1;30;NL;1497215;$$;CL;0.000;0.002;0.697
