"id_serie";"Run Fondo";"caract";"fecha_inicio";"fecha_termino";"valor_cuota_inicio";"continuadora"
UNICA;"9022";;2013-09-03;2018-05-16;1000.0000;
A;"9022";;2018-05-17;;NaN;UNICA
BCH;"9022";;2023-05-16;;1250.0000;
IE;"9022";;;;1250.0000;
P;"9022";;2018-05-17;;1000.0000;
UNICA;"8026";;1985-03-11;2005-02-09;1000.0000;
APV;"8026";APV;2005-02-10;2011-11-28;1000.0000;
A;"8026";;2005-02-10;;1000.0000;UNICA
B;"8026";APV;2011-11-29;;1000.0000;APV
BCH;"8026";;2018-09-12;;1000.0000;
BPLUS;"8026";APV;2019-10-21;;2000.0000;
IT;"8026";;2016-08-18;;1000.0000;
P;"8026";;2018-09-26;;1000.0000;
P1;"8026";;2023-06-28;;1000.0000;
A;"9561";;2018-01-04;2020-02-19;1000.0000;
D;"9561";;2020-02-11;2020-02-19;1000.0000;
E;"9561";;2018-01-04;2020-02-19;1000.0000;
B;"9561";APV;2019-11-22;;2000.0000;
BCH;"9561";;2018-01-04;;1000.0000;
BPLUS;"9561";APV;2020-07-20;;2000.0000;
L;"9561";;2020-02-20;;1002.8376;D
M;"9561";;2020-02-20;;1001.9575;A Y E
APVDIGITAL;"10059";APV;2021-07-14;;1000.0000;
BCH;"10059";;2021-07-14;;1000.0000;
DIGITAL;"10059";;2021-07-14;;1000.0000;
UNICA;"8248";;2002-10-09;2018-08-02;1000.0000;
A;"8248";;2018-08-03;;1229.1356;UNICA
BCH;"8248";;2020-09-08;;1000.0000;
BPLUS;"8248";APV;2020-02-20;;1260.0000;
IE;"8248";;;;1250.0000;
IT;"8248";;2022-08-23;;1250.0000;
P;"8248";;2023-10-26;;1300.0000;
A;"10269";;2022-05-17;;1000.0000;
BCH;"10269";;;;1000.0000;
A;"10353";;2022-10-17;;1000.0000;
B;"10353";APV;2022-10-18;;2000.0000;
BCH;"10353";;2022-10-18;;1000.0000;
BPLUS;"10353";APV;;;2000.0000;
A;"10359";;2022-10-21;2023-11-06;1000.0000;
B;"10359";APV;2022-10-24;2023-11-06;2000.0000;
BCH;"10359";;2022-10-21;2023-11-06;1000.0000;
BPLUS;"10359";APV;2022-10-25;2023-11-06;2000.0000;
A;"10432";;2023-03-08;;1000.0000;
B;"10432";APV;2023-03-10;;2000.0000;
BCH;"10432";;2023-03-09;;1000.0000;
BPLUS;"10432";APV;2023-03-14;;2000.0000;
A;"10446";;2023-04-04;;1000.0000;
B;"10446";APV;2023-04-05;;2000.0000;
BCH;"10446";;2023-04-03;;1000.0000;
BPLUS;"10446";APV;2023-04-10;;2000.0000;
A;"10377";;2022-11-09;;1000.0000;
B;"10377";APV;2022-11-09;;1000.0000;
BCH;"10377";;2022-11-10;;1000.0000;
BPLUS;"10377";APV;2022-11-10;;1000.0000;
UNICA;"8152";;2000-06-12;2007-06-30;1000.0000;
S;"8152";;2011-12-03;2014-11-18;1000.0000;
A;"8152";;2007-07-01;2020-02-05;1417.1817;UNICA
D;"8152";;2010-01-12;2020-02-05;1000.0000;
E;"8152";;2014-11-19;2020-02-05;1000.0000;
B;"8152";APV;2007-07-01;;1417.1817;UNICA
BCH;"8152";;2017-09-21;;1000.0000;
BPLUS;"8152";APV;;;2000.0000;
IT;"8152";;;;5000.0000;
L;"8152";;2020-02-06;;1480.7820;D
M;"8152";;2020-02-06;;2523.3924;A
V;"8152";;2015-12-29;;1000.0000;
UNICA;"8957";;2012-09-11;2020-02-18;100.0000;
A;"8957";;2020-02-19;;108.9551;UNICA
BCH;"8957";;2020-05-29;;100.0000;
A;"8934";;2012-06-06;2020-02-05;1000.0000;
D;"8934";;2012-06-06;2020-02-05;1000.0000;
E;"8934";;2014-11-19;2020-02-05;1000.0000;
ADC;"8934";;2022-12-28;;1000.0000;
B;"8934";APV;2012-06-06;;1000.0000;
BCH;"8934";;2017-10-02;;1000.0000;
BPLUS;"8934";APV;2019-12-11;;2000.0000;
L;"8934";;2020-02-06;;1351.1337;D
M;"8934";;2020-02-06;;1375.7028;A
UNICA;"8052";;1992-10-14;2007-06-30;0.0000;
E;"8052";;2015-03-18;2020-02-18;1000.0000;
A;"8052";;2007-07-01;;29818.7242;UNICA
B;"8052";APV;2007-07-01;;29818.7242;UNICA
BCH;"8052";;;;1000.0000;
BPLUS;"8052";APV;2020-04-17;;2000.0000;
UNICA;"8054";;1992-10-14;2004-08-16;1000.0000;
S;"8054";;2011-12-06;2014-12-26;1000.0000;
A;"8054";;2004-08-17;2020-02-11;1000.0000;UNICA
C;"8054";;2005-03-08;2020-02-11;3000.0000;
E;"8054";;2013-09-16;2020-02-11;1000.0000;
B;"8054";APV;2004-08-17;;2000.0000;
BCH;"8054";;2017-09-28;;1000.0000;
BPLUS;"8054";APV;2018-06-11;;2000.0000;
L;"8054";;2020-02-12;;1907.4203;A
M;"8054";;2020-02-12;;7279.9166;C
UNICA;"8299";;2004-05-17;2011-12-18;100.0000;
A;"8299";;2011-12-19;2020-02-06;192.7218;UNICA
C;"8299";;2011-12-19;2020-02-06;200.0000;
BCH;"8299";;2021-08-02;;100.0000;
L;"8299";;2020-02-07;;182.6564;A
M;"8299";;2020-02-07;;190.9167;C
S;"9042";;2013-12-20;2014-10-23;1000.0000;
A;"9042";;2013-12-20;2020-02-20;1000.0000;
C;"9042";;2013-12-20;2020-02-20;1000.0000;
B;"9042";APV;2013-12-20;2023-11-01;2000.0000;
BCH;"9042";;;2023-11-01;1000.0000;
BPLUS;"9042";;;2023-11-01;2000.0000;
L;"9042";;2020-02-21;2023-11-01;1935.7718;A
M;"9042";;2020-02-21;2023-11-01;1539.0734;C
S;"9041";;2013-12-20;2014-10-23;1000.0000;
A;"9041";;2013-12-20;2020-02-20;27579.6452;A
C;"9041";;2013-12-20;2020-02-20;1000.0000;
B;"9041";APV;2013-12-20;2023-11-21;27579.6452;B
BCH;"9041";;;2023-11-21;1000.0000;
BPLUS;"9041";APV;;2023-11-21;2000.0000;
L;"9041";;2020-02-21;2023-11-21;40098.9709;A
M;"9041";;2020-02-21;2023-11-21;1349.3282;C
UNICA;"8525";;2007-10-06;2007-10-07;1000.0000;
